time,value,delta
1666422769,76,67452
1666422935,76,67572
1666422949,76,67539
1666423060,76,67604
1666423105,76,67602
1666423239,61,67690
1666423275,61,67679
1666423419,61,67777
1666423445,61,67756
1666423599,69,67864
1666423615,69,67833
1666423780,69,67952
1666423785,69,67910
1666423956,69,68035
1666423960,69,67992
1666424126,69,68112
1666424140,69,68079
1666424286,69,68179
1666424292,69,68138
1666424295,69,68095
1666424309,69,68062
1666424323,69,68030
1666424351,69,68011
1666424465,69,68079
1666424531,69,68098
1666424635,69,68156
1666424711,69,68185
1666424805,69,68233
1666424891,69,68272
1666424976,69,68311
1666425071,69,68359
1666425146,69,68388
1666425251,69,68446
1666425316,69,68465
1666425431,69,68533
1666425486,69,68542
1666425611,69,68620
1666425656,69,68619
1666425791,69,68708
1666425826,69,68696
1666425971,69,68795
1666425996,69,68773
1666426151,69,68882
1666426167,69,68851
1666426332,69,68970
1666426337,69,68928
1666426506,69,69051
1666426512,69,69010
1666426676,69,69128
1666426692,69,69097
1666426761,69,69120
1666426846,69,69158
1666426941,69,69207
1666427016,69,69235
1666427121,69,69294
1666427186,69,69312
1666427301,69,69381
1666427357,69,69390
1666427481,69,69468
1666427527,69,69467
1666427661,69,69555
1666427697,69,69544
1666427841,69,69642
1666427867,69,69621
1666427975,69,69683
1666428037,69,69698
1666428154,69,69769
1666428206,69,69774
1666428334,69,69856
1666428376,69,69851
1666428514,69,69943
1666428547,69,69929
1666428694,69,70030
1666428717,69,70006
1666428874,69,70117
1666428888,69,70084
1666429055,69,70205
1666429058,69,70162
1666429228,69,70285
1666429235,69,70246
1666429399,69,70363
1666429415,69,70333
1666429570,69,70441
1666429595,69,70420
1666429741,69,70519
1666429775,69,70507
1666429911,69,70596
1666429955,69,70594
1666430082,69,70674
1666430135,69,70681
1666430252,69,70751
1666430315,69,70768
1666430423,69,70829
1666430495,69,70855
1666430592,69,70905
1666430675,69,70942
1666430762,69,70982
1666430855,69,71029
1666430932,69,71059
1666430939,69,71020
1666431102,69,71136
1666431118,69,71106
1666431272,69,71213
1666431298,69,71193
1666431320,69,71168
1666431442,69,71244
1666431500,69,71255
1666431613,69,71322
1666431680,69,71342
1666431784,69,71400
1666431861,69,71430
1666431953,69,71476
1666432041,69,71517
1666432123,69,71553
1666432221,69,71604
1666432293,69,71630
1666432401,69,71692
1666432464,69,71708
1666432581,69,71779
1666432634,69,71785
1666432761,69,71866
1666432804,69,71862
1666432941,69,71953
1666432975,69,71940
1666433121,69,72040
1666433146,69,72018
1666433301,69,72127
1666433316,69,72095
1666433481,69,72214
1666433485,69,72171
1666433655,69,72295
1666433661,69,72254
1666433825,69,72372
1666433841,69,72341
1666433995,69,72449
1666434021,69,72428
1666434166,69,72527
1666434201,69,72515
1666434336,69,72604
1666434381,69,72602
1666434506,69,72681
1666434562,69,72690
1666434675,69,72757
1666434742,69,72777
1666434845,69,72834
1666434922,69,72864
1666435015,69,72911
1666435102,69,72951
1666435186,69,72989
1666435282,69,73038
1666435356,69,73066
1666435462,69,73125
1666435527,69,73144
1666435642,69,73212
1666435696,69,73220
1666435822,69,73300
1666435866,69,73297
1666436002,69,73387
1666436036,69,73374
1666436182,69,73474
1666436206,69,73451
1666436362,69,73561
1666436376,69,73528
1666436542,69,73648
1666436546,69,73605
1666436717,69,73730
1666436722,69,73688
1666436887,69,73807
1666436902,73,73775
1666437057,73,73884
1666437083,73,73863
1666437227,73,73961
1666437263,73,73950
1666437396,73,74037
1666437443,73,74037
1666437566,73,74114
1666437623,73,74124
1666437737,73,74192
1666437803,73,74211
1666437907,73,74269
1666437983,73,74298
1666438078,73,74347
1666438163,73,74385
1666438248,73,74424
1666438343,73,74472
1666438419,73,74502
1666438523,73,74559
1666438590,73,74580
1666438703,73,74646
1666438761,73,74658
1666438883,73,74733
1666438932,73,74736
1666439063,73,74820
1666439102,73,74813
1666439243,73,74908
1666439272,73,74890
1666439423,73,74995
1666439441,73,74966
1666439603,73,75082
1666439612,73,75044
1666439782,73,75168
1666439783,73,75122
1666439952,73,75245
1666439964,73,75210
1666440122,73,75322
1666440144,73,75297
1666440292,73,75399
1666440324,73,75384
1666440462,73,75476
1666440504,73,75471
1666440632,73,75553
1666440684,73,75558
1666440802,73,75630
1666440864,73,75645
1666440972,73,75707
1666441044,73,75732
1666441143,73,75785
1666441224,73,75819
1666441313,73,75862
1666441404,73,75906
1666441484,73,75940
1666441584,73,75993
1666441655,73,76018
1666441764,73,76080
1666441826,73,76096
1666441944,73,76167
1666441996,73,76173
1666442124,61,76254
1666442166,61,76250
1666442304,61,76341
1666442336,61,76327
1666442484,61,76428
1666442506,61,76404
1666442665,61,76517
1666442676,61,76481
1666442845,61,76604
1666442847,61,76559
1666443017,61,76683
1666443025,61,76644
1666443187,61,76760
1666443205,61,76731
1666443357,61,76837
1666443385,61,76818
1666443527,61,76914
1666443565,61,76905
1666443698,61,76992
1666443745,61,76992
1666443867,61,77068
1666443925,61,77079
1666444037,61,77145
1666444105,61,77166
1666444207,61,77222
1666444285,61,77253
1666444377,61,77299
1666444465,61,77340
1666444547,61,77376
