generation_time,C.NTP.offset,Difference
1407240423052.0,1124.0,3238.0
1407240423059.0,-65610.0,3224.0
1407240423064.0,-70798.0,3208.0
1407240423098.0,714.0,3222.0
1407240423119.0,50413.0,3222.0
1407240423121.0,-890.0,3203.0
1407240423173.0,105.0,3235.0
1407240423175.0,6683.0,3216.0
1407240423194.0,-70798.0,3214.0
1407240423225.0,1378.0,3224.0
1407240423241.0,-65610.0,3220.0
1407240423260.0,1124.0,3218.0
1407240423298.0,714.0,3235.0
1407240423303.0,50413.0,3220.0
1407240423308.0,-890.0,3204.0
1407240423321.0,105.0,3196.0
1407240423373.0,1378.0,3227.0
1407240423381.0,6683.0,3215.0
1407240423431.0,-65610.0,3244.0
1407240423442.0,-70798.0,3234.0
1407240423448.0,1124.0,3220.0
1407240423497.0,714.0,3248.0
1407240423510.0,50413.0,3240.0
1407240423511.0,-890.0,3221.0
1407240423520.0,105.0,3209.0
1407240423574.0,1378.0,3242.0
1407240423584.0,6683.0,3231.0
1407240423611.0,1124.0,3238.0
1407240423631.0,-70798.0,3237.0
1407240423650.0,714.0,3235.0
1407240423692.0,-890.0,3257.0
1407240423711.0,-65610.0,3255.0
1407240423714.0,50413.0,3237.0
1407240423724.0,1378.0,3226.0
1407240423787.0,105.0,3269.0
1407240423808.0,1124.0,3269.0
1407240423814.0,6683.0,3254.0
1407240423847.0,-70798.0,3267.0
1407240423877.0,-890.0,3276.0
1407240423917.0,714.0,3295.0
1407240423919.0,-65610.0,3276.0
1407240423927.0,105.0,3264.0
1407240423955.0,6683.0,3271.0
1407240423975.0,50413.0,3270.0
1407240423990.0,-70798.0,3265.0
1407240424011.0,1378.0,3265.0
1407240424050.0,1124.0,3283.0
1407240424098.0,-890.0,3310.0
1407240424099.0,714.0,3291.0
1407240424120.0,-65610.0,3291.0
1407240424125.0,1378.0,3275.0
1407240424176.0,50413.0,3306.0
1407240424192.0,105.0,3301.0
1407240424223.0,1124.0,3311.0
1407240424229.0,6683.0,3296.0
1407240424248.0,-70798.0,3295.0
1407240424278.0,-65610.0,3304.0
1407240424295.0,714.0,3300.0
1407240424307.0,-890.0,3292.0
1407240424329.0,1378.0,3293.0
1407240424395.0,50413.0,3338.0
1407240424410.0,-70798.0,3332.0
1407240424412.0,105.0,3314.0
1407240424429.0,6683.0,3310.0
1407240424431.0,1124.0,3291.0
1407240424498.0,-65610.0,3338.0
1407240424510.0,714.0,3329.0
1407240424529.0,-890.0,3327.0
1407240424564.0,105.0,3341.0
1407240424571.0,50413.0,3328.0
1407240424582.0,6683.0,3318.0
1407240424630.0,1124.0,3345.0
1407240424647.0,-70798.0,3342.0
1407240424654.0,1378.0,3328.0
1407240424711.0,-65610.0,3364.0
1407240424712.0,714.0,3344.0
1407240424736.0,-890.0,3348.0
1407240424742.0,105.0,3333.0
1407240424771.0,50413.0,3341.0
1407240424785.0,6683.0,3335.0
1407240424811.0,-70798.0,3340.0
1407240424851.0,1378.0,3359.0
1407240424867.0,1124.0,3354.0
1407240424880.0,714.0,3347.0
1407240424897.0,-890.0,3343.0
1407240424915.0,-65610.0,3340.0
1407240424936.0,1378.0,3341.0
1407240424972.0,50413.0,3356.0
1407240424988.0,105.0,3351.0
1407240425056.0,6683.0,3398.0
1407240425057.0,-70798.0,3379.0
1407240425058.0,1124.0,3359.0
1407240425086.0,-65610.0,3366.0
1407240425092.0,714.0,3352.0
1407240425118.0,-890.0,3357.0
